Date,Open,High,Low,Close,Volume,O/C,H/C,L/C,reportedEPS,estimatedEPS,surprise,surprisePercentage,rEPS/C,estEPS/C,surEPS/C,sP/C
6/20/2014,22.9625,23.1375,22.7250,20.1562,403592000,1.13923,1.1479,1.1274,0.415,0.365,0.05,13.6986,0.0206,0.0181,0.0025,0.6796
6/19/2014,23.0725,23.0750,22.8350,20.3669,142112000,1.13285,1.1330,1.1212,0.415,0.365,0.05,13.6986,0.0204,0.0179,0.0025,0.6726
6/18/2014,23.0675,23.0725,22.8375,20.4378,134056000,1.12867,1.1289,1.1174,0.415,0.365,0.05,13.6986,0.0203,0.0179,0.0024,0.6703
6/17/2014,23.0775,23.1750,22.9500,20.4156,118904000,1.13038,1.1352,1.1241,0.415,0.365,0.05,13.6986,0.0203,0.0179,0.0024,0.6710
6/16/2014,22.8775,23.1875,22.8625,20.4423,142244000,1.11913,1.1343,1.1184,0.415,0.365,0.05,13.6986,0.0203,0.0179,0.0024,0.6701
6/13/2014,23.0500,23.1100,22.7200,20.2383,218100000,1.13893,1.1419,1.1226,0.415,0.365,0.05,13.6986,0.0205,0.0180,0.0025,0.6769
6/12/2014,23.5100,23.5300,22.9750,20.4622,218996000,1.14895,1.1499,1.1228,0.415,0.365,0.05,13.6986,0.0203,0.0178,0.0024,0.6695
6/11/2014,23.5325,23.6900,23.3675,20.8103,182724000,1.13081,1.1384,1.1229,0.415,0.365,0.05,13.6986,0.0199,0.0175,0.0024,0.6583
6/10/2014,23.6825,23.7625,23.3925,20.8968,251108000,1.13331,1.1371,1.1194,0.415,0.365,0.05,13.6986,0.0199,0.0175,0.0024,0.6555
6/9/2014,23.1750,23.4700,22.9375,20.7748,301660000,1.11553,1.1297,1.1041,0.415,0.365,0.05,13.6986,0.0200,0.0176,0.0024,0.6594
6/6/2014,23.2107,23.2593,23.0168,20.4476,349938400,1.13513,1.1375,1.1256,0.415,0.365,0.05,13.6986,0.0203,0.0179,0.0024,0.6699
6/5/2014,23.0786,23.1918,22.9504,20.5040,303805600,1.12556,1.1311,1.1193,0.415,0.365,0.05,13.6986,0.0202,0.0178,0.0024,0.6681
6/4/2014,22.7657,23.1389,22.7182,20.4239,335482000,1.11466,1.1329,1.1123,0.415,0.365,0.05,13.6986,0.0203,0.0179,0.0024,0.6707
6/3/2014,22.4450,22.8121,22.4375,20.1933,292709200,1.11151,1.1297,1.1111,0.415,0.365,0.05,13.6986,0.0206,0.0181,0.0025,0.6784
6/2/2014,22.6414,22.6725,22.2321,19.9117,369350800,1.13709,1.1387,1.1165,0.415,0.365,0.05,13.6986,0.0208,0.0183,0.0025,0.6880
5/30/2014,22.7850,23.0061,22.4607,20.0495,564020800,1.13644,1.1475,1.1203,0.415,0.365,0.05,13.6986,0.0207,0.0182,0.0025,0.6832
5/29/2014,22.4232,22.7454,22.4204,20.1249,376474000,1.11420,1.1302,1.1141,0.415,0.365,0.05,13.6986,0.0206,0.0181,0.0025,0.6807
5/28/2014,22.3579,22.4939,22.2779,19.7647,315481600,1.13120,1.1381,1.1272,0.415,0.365,0.05,13.6986,0.0210,0.0185,0.0025,0.6931
5/27/2014,21.9957,22.3521,21.9868,19.8161,348866000,1.10999,1.1280,1.1095,0.415,0.365,0.05,13.6986,0.0209,0.0184,0.0025,0.6913
5/23/2014,21.6875,21.9546,21.6596,19.4518,232209600,1.11494,1.1287,1.1135,0.415,0.365,0.05,13.6986,0.0213,0.0188,0.0026,0.7042
5/22/2014,21.6643,21.7804,21.5750,19.2345,200760000,1.12632,1.1324,1.1217,0.415,0.365,0.05,13.6986,0.0216,0.0190,0.0026,0.7122
5/21/2014,21.5654,21.6679,21.5021,19.2041,196859600,1.12295,1.1283,1.1197,0.415,0.365,0.05,13.6986,0.0216,0.0190,0.0026,0.7133
5/20/2014,21.5896,21.6571,21.4546,19.1534,234836000,1.12719,1.1307,1.1201,0.415,0.365,0.05,13.6986,0.0217,0.0191,0.0026,0.7152
5/19/2014,21.3518,21.6904,21.3332,19.1496,317755200,1.11500,1.1327,1.1140,0.415,0.365,0.05,13.6986,0.0217,0.0191,0.0026,0.7153
5/16/2014,21.0225,21.3404,20.9071,18.9254,276256400,1.11081,1.1276,1.1047,0.415,0.365,0.05,13.6986,0.0219,0.0193,0.0026,0.7238
5/15/2014,21.2393,21.3071,21.0014,18.6501,230846000,1.13883,1.1425,1.1261,0.415,0.365,0.05,13.6986,0.0223,0.0196,0.0027,0.7345
5/14/2014,21.1582,21.3357,21.1336,18.8101,166404000,1.12483,1.1343,1.1235,0.415,0.365,0.05,13.6986,0.0221,0.0194,0.0027,0.7283
5/13/2014,21.1429,21.2336,21.0964,18.8066,159737200,1.12422,1.1290,1.1218,0.415,0.365,0.05,13.6986,0.0221,0.0194,0.0027,0.7284
5/12/2014,20.9818,21.2021,20.9786,18.7772,213208800,1.11741,1.1291,1.1172,0.415,0.365,0.05,13.6986,0.0221,0.0194,0.0027,0.7295
5/9/2014,20.8764,20.9375,20.7261,18.5462,291597600,1.12564,1.1289,1.1175,0.415,0.365,0.05,13.6986,0.0224,0.0197,0.0027,0.7386
5/8/2014,21.0089,21.2289,20.9429,18.6239,230297200,1.12807,1.1399,1.1245,0.415,0.365,0.05,13.6986,0.0223,0.0196,0.0027,0.7355
5/7/2014,21.2589,21.3318,20.9904,18.6571,282864400,1.13945,1.1434,1.1251,0.415,0.365,0.05,13.6986,0.0222,0.0196,0.0027,0.7342
5/6/2014,21.4929,21.5861,21.2289,18.7226,374564400,1.14796,1.1529,1.1339,0.415,0.365,0.05,13.6986,0.0222,0.0195,0.0027,0.7317
5/5/2014,21.0764,21.4643,21.0714,18.9289,287067200,1.11345,1.1339,1.1132,0.415,0.365,0.05,13.6986,0.0219,0.0193,0.0026,0.7237
5/2/2014,21.1550,21.2214,21.0611,18.6650,191514400,1.13341,1.1370,1.1284,0.415,0.365,0.05,13.6986,0.0222,0.0196,0.0027,0.7339
5/1/2014,21.1429,21.2429,20.9414,18.6303,244048000,1.13486,1.1402,1.1240,0.415,0.365,0.05,13.6986,0.0223,0.0196,0.0027,0.7353
4/30/2014,21.1657,21.4082,21.0643,18.5866,456640800,1.13876,1.1518,1.1333,0.415,0.365,0.05,13.6986,0.0223,0.0196,0.0027,0.7370
4/29/2014,21.2050,21.2850,21.0539,18.6571,337377600,1.13656,1.1409,1.1285,0.415,0.365,0.05,13.6986,0.0222,0.0196,0.0027,0.7342
4/28/2014,20.4571,21.2768,20.4482,18.7125,669485600,1.09323,1.1370,1.0928,0.415,0.365,0.05,13.6986,0.0222,0.0195,0.0027,0.7321
4/25/2014,20.1618,20.4282,20.1414,18.0149,390275200,1.11917,1.1340,1.1180,0.415,0.365,0.05,13.6986,0.0230,0.0203,0.0028,0.7604
4/24/2014,20.2932,20.3571,20.0261,17.8835,759911600,1.13474,1.1383,1.1198,0.415,0.365,0.05,13.6986,0.0232,0.0204,0.0028,0.7660
4/23/2014,18.8950,18.9689,18.7304,16.5285,394940000,1.14318,1.1477,1.1332,0.415,0.365,0.05,13.6986,0.0251,0.0221,0.0030,0.8288
4/22/2014,18.8682,18.9939,18.8036,16.7474,202563200,1.12664,1.1341,1.1228,0.5175,0.5025,0.015,2.9851,0.0309,0.0300,0.0009,0.1782
4/21/2014,18.7621,19.0050,18.7129,16.7307,182548800,1.12142,1.1359,1.1185,0.5175,0.5025,0.015,2.9851,0.0309,0.0300,0.0009,0.1784
4/17/2014,18.5714,18.8486,18.5429,16.5345,284334400,1.12319,1.1400,1.1215,0.5175,0.5025,0.015,2.9851,0.0313,0.0304,0.0009,0.1805
4/16/2014,18.5018,18.6104,18.3621,16.3477,214765600,1.13177,1.1384,1.1232,0.5175,0.5025,0.015,2.9851,0.0317,0.0307,0.0009,0.1826
4/15/2014,18.5811,18.6300,18.2618,16.3146,266490000,1.13892,1.1419,1.1194,0.5175,0.5025,0.015,2.9851,0.0317,0.0308,0.0009,0.1830
